"danish","swedish","pos","example_da","example_sv","note","deck","cefr","tags","audio","audio_example"
"begejstret","entusiastisk","adj","Hun var helt begejstret for idéen.","Hon var helt entusiastisk över idén.","Motsvarar svenska 'begejstrad/entusiastisk'. Vanligt ord för positiv iver.","känslor-b1","b1","adj","audio/da-1f316376f10d2a.mp3","audio/da-1f316376f10d2a-ex.mp3"
"følelse","känsla","noun","Jeg havde en mærkelig følelse i maven.","Jag hade en konstig känsla i magen.","En-ord: 'en følelse'.","känslor-b1","b1","noun","audio/da-1e4d665b7c9ca6.mp3","audio/da-1e4d665b7c9ca6-ex.mp3"
"springe","hoppa","verb","Drengen kunne springe over hækken.","Pojken kunde hoppa över häcken.","Falsk vän: danskt 'springe' = hoppa, INTE springa. Springa heter 'løbe' på danska.","falske-venner-b1","b1","falsk-ven|asymmetrisk","audio/da-1e995da1ce4fbf.mp3","audio/da-1e995da1ce4fbf-ex.mp3"
"hoppe","hoppa","verb","Børnene hopper i sengen.","Barnen hoppar i sängen.","'Hoppe' och 'springe' överlappar för hoppa; 'springe' kan dock även betyda spränga/brista.","verber-b1","b1","verb","audio/da-169038dd5eff66.mp3","audio/da-169038dd5eff66-ex.mp3"
"hue","mössa","noun","Tag din hue på, det er koldt.","Ta på dig mössan, det är kallt.","Rättat: 'hue' = stickad mössa/luva, inte 'hatt' (hatt med brätte = 'hat' på danska). En-ord: 'en hue'.","kläder-b1","b1","noun","audio/da-19dd2befc40280.mp3","audio/da-19dd2befc40280-ex.mp3"
"løbe","springa","verb","Jeg løber en tur hver morgen.","Jag springer en runda varje morgon.","Falsk vän-fälla: 'løbe' = springa. Jämför danskt 'springe' = hoppa.","falske-venner-b1","b1","falsk-ven|asymmetrisk","audio/da-03cbfe456a097d.mp3","audio/da-03cbfe456a097d-ex.mp3"
"brusebad","dusch","noun","Jeg tager et brusebad efter træning.","Jag tar en dusch efter träningen.","'Brusebad' = dusch; verbet är 'tage et brusebad' (= duscha). Et-ord: 'et brusebad'.","hverdag-b1","b1","noun","audio/da-134ba4c62a6c85.mp3","audio/da-134ba4c62a6c85-ex.mp3"
"tilpasse","anpassa","verb","Vi må tilpasse planen til vejret.","Vi måste anpassa planen efter vädret.","Ofta refleksivt: 'tilpasse sig' = anpassa sig.","verber-b1","b1","verb","audio/da-0c1c519f9ae321.mp3","audio/da-0c1c519f9ae321-ex.mp3"
"dyppe","doppa","verb","Hun dyppede kiksen i kaffen.","Hon doppade kexet i kaffet.","Rättat infinitiv: 'dyppe' (användaren skrev substantivformen 'dyp'). 'et dyp' = ett dopp.","verber-b1","b1","verb|stavning","audio/da-0b3e8751e27700.mp3","audio/da-0b3e8751e27700-ex.mp3"
"genstande","saker","noun","Læg dine personlige genstande i skabet.","Lägg dina personliga saker i skåpet.","Plural av 'en genstand' = ett föremål/en sak. Lite mer formellt än 'ting'.","hverdag-b1","b2","noun","audio/da-165cc86b3d2baa.mp3","audio/da-165cc86b3d2baa-ex.mp3"
